Date,Symbol,Buy,Sell,Total,Net
2026-07-09,CAZ,14012.0,8950.0,22962.0,5062.0
2026-07-09,CBG,72878575.0,69955200.0,142833775.0,2923375.0
2026-07-09,CCET,161389550.0,77892402.4,239281952.4,83497147.6
2026-07-09,CEN,0.0,60.0,60.0,-60.0
2026-07-09,CENTEL,42496575.0,37304200.0,79800775.0,5192375.0
2026-07-09,CFARM,0.0,69736.0,69736.0,-69736.0
2026-07-09,CFRESH,324.0,214.0,538.0,110.0
2026-07-09,CGD,880000.0,0.0,880000.0,880000.0
2026-07-09,CGH,7938.0,12364.0,20302.0,-4426.0
2026-07-09,CHASE,1581.0,0.0,1581.0,1581.0
2026-07-09,CHAYO,1331268.0,11615.0,1342883.0,1319653.0
2026-07-09,CHG,5554991.0,6514481.0,12069472.0,-959490.0
2026-07-09,CHOW,0.0,128.0,128.0,-128.0
2026-07-09,CITY,408580.0,0.0,408580.0,408580.0
2026-07-09,CIVIL,4860.0,4956.0,9816.0,-96.0
2026-07-09,CK,149381810.0,21724000.0,171105810.0,127657810.0
2026-07-09,CKP,5215582.0,2501818.0,7717400.0,2713764.0
2026-07-09,CMAN,0.0,306028.0,306028.0,-306028.0
2026-07-09,CMR,0.0,127.0,127.0,-127.0
2026-07-09,CNT,401714.0,43805.0,445519.0,357909.0
2026-07-09,COCOCO,133370.0,5050.0,138420.0,128320.0
2026-07-09,COM7,149484500.0,68061900.0,217546400.0,81422600.0
2026-07-09,COMAN,100.0,0.0,100.0,100.0
2026-07-09,CPALL,305077900.0,503881637.75,808959537.75,-198803737.75
2026-07-09,CPAXT,14308430.0,14284510.0,28592940.0,23920.0
2026-07-09,CPF,290972220.0,381133552.0,672105772.0,-90161332.0
2026-07-09,CPL,21388.0,14600.0,35988.0,6788.0
2026-07-09,CPN,199504650.0,131123248.75,330627898.75,68381401.25
2026-07-09,CPW,0.0,2596.0,2596.0,-2596.0
2026-07-09,CRANE,0.0,340.0,340.0,-340.0
2026-07-09,CRC,156158150.0,71328770.0,227486920.0,84829380.0
2026-07-09,CREDIT,22059830.0,3333900.0,25393730.0,18725930.0
2026-07-09,CSS,87540.0,48525.0,136065.0,39015.0
2026-07-09,CTW,404720.0,0.0,404720.0,404720.0
2026-07-09,CWT,95.0,373.0,468.0,-278.0
2026-07-09,CWT-W8,15283.0,0.0,15283.0,15283.0
2026-07-09,DCC,152126.0,145720.0,297846.0,6406.0
2026-07-09,DDD,0.0,498.0,498.0,-498.0
2026-07-09,DELTA,1899452978.0,1826572960.0,3726025938.0,72880018.0
2026-07-09,DEMCO,498672.0,123720.0,622392.0,374952.0
2026-07-09,DIMET,0.0,14.0,14.0,-14.0
2026-07-09,DITTO,38868540.0,4074430.0,42942970.0,34794110.0
2026-07-09,DMT,44400.0,609280.0,653680.0,-564880.0
2026-07-09,DOD,10080.0,115.0,10195.0,9965.0
2026-07-09,DOHOME,8250262.0,4607654.0,12857916.0,3642608.0
2026-07-09,DPAINT,0.0,32800.0,32800.0,-32800.0
2026-07-09,DRT,29040.0,0.0,29040.0,29040.0
2026-07-09,DUSIT,442030.0,32430.0,474460.0,409600.0
2026-07-09,EA,72305982.0,31509274.0,103815256.0,40796708.0
2026-07-09,EA-W1,0.0,4410.0,4410.0,-4410.0
2026-07-09,EAST,5840.0,0.0,5840.0,5840.0
2026-07-09,EASTW,7608180.0,4620170.0,12228350.0,2988010.0
2026-07-09,EGCO,73942550.0,50334100.0,124276650.0,23608450.0
2026-07-09,EKH,104000.0,11015.0,115015.0,92985.0
2026-07-09,EMPIRE,46134.0,68238.0,114372.0,-22104.0
2026-07-09,EP,5800.0,0.0,5800.0,5800.0
2026-07-09,EPG,43394019.0,19383725.0,62777744.0,24010294.0
2026-07-09,ERW,5041932.0,2805470.0,7847402.0,2236462.0
2026-07-09,ETC,10184.0,125291.0,135475.0,-115107.0
2026-07-09,EVER,0.0,7.0,7.0,-7.0
2026-07-09,FM,578670.0,92442.0,671112.0,486228.0
2026-07-09,FNS,130000.0,0.0,130000.0,130000.0
2026-07-09,FORTH,48670700.0,5065740.0,53736440.0,43604960.0
2026-07-09,FPI,0.0,150.0,150.0,-150.0
2026-07-09,FSMART,3476095.0,474805.0,3950900.0,3001290.0
2026-07-09,FTI,0.0,540.0,540.0,-540.0
2026-07-09,GABLE,192260.0,0.0,192260.0,192260.0
2026-07-09,GBX,97250.0,0.0,97250.0,97250.0
2026-07-09,GFPT,2311920.0,2534325.0,4846245.0,-222405.0
2026-07-09,GJS,0.0,23972.0,23972.0,-23972.0
2026-07-09,GLOBAL,72739945.0,13007450.0,85747395.0,59732495.0
2026-07-09,GPI,8800.0,1750.0,10550.0,7050.0
2026-07-09,GPSC,283376925.0,182716075.0,466093000.0,100660850.0
2026-07-09,GREEN,0.0,1818.0,1818.0,-1818.0
2026-07-09,GULF,731529558.0,613708813.75,1345238371.75,117820744.25
2026-07-09,GUNKUL,156359896.0,182090890.2,338450786.2,-25730994.199999988
2026-07-09,HANA,231426325.0,239129025.0,470555350.0,-7702700.0
2026-07-09,HARN,250084.0,0.0,250084.0,250084.0
2026-07-09,HENG,0.0,92.0,92.0,-92.0
2026-07-09,HMPRO,65419044.0,38529425.0,103948469.0,26889619.0
2026-07-09,HTC,439330.0,2587500.0,3026830.0,-2148170.0
2026-07-09,HTECH,737202.0,356752.0,1093954.0,380450.0
2026-07-09,HUMAN,597826.0,253916.0,851742.0,343910.0
2026-07-09,ICHI,37915995.8,10211550.0,48127545.8,27704445.799999997
2026-07-09,IHL,0.0,41300.0,41300.0,-41300.0
2026-07-09,ILINK,3795405.0,263860.0,4059265.0,3531545.0
2026-07-09,ILM,393680.0,10280.0,403960.0,383400.0
2026-07-09,INET,1564664.0,496016.0,2060680.0,1068648.0
2026-07-09,INGRS,0.0,50.0,50.0,-50.0
2026-07-09,INOX,0.0,37800.0,37800.0,-37800.0
2026-07-09,INSET,28677138.0,15161628.0,43838766.0,13515510.0
2026-07-09,IP,5854.0,6740.0,12594.0,-886.0
2026-07-09,IRC,23800.0,27140.0,50940.0,-3340.0
2026-07-09,IROYAL,0.0,41836.0,41836.0,-41836.0
2026-07-09,IRPC,17834603.0,91233591.0,109068194.0,-73398988.0
2026-07-09,IT,0.0,3620.0,3620.0,-3620.0
2026-07-09,ITC,53353300.0,12754340.0,66107640.0,40598960.0
2026-07-09,ITD,266591.0,12178.0,278769.0,254413.0
2026-07-09,ITEL,17020327.0,1962251.0,18982578.0,15058076.0
2026-07-09,ITEL-W6,0.0,45000.0,45000.0,-45000.0
2026-07-09,ITTHI,5676.0,3893.0,9569.0,1783.0
2026-07-09,IVL,126732190.0,152034060.0,278766250.0,-25301870.0
2026-07-09,JAS,2230132.0,2675584.0,4905716.0,-445452.0
2026-07-09,JAS-W4,800.0,0.0,800.0,800.0
2026-07-09,JDF,0.0,1170.0,1170.0,-1170.0
2026-07-09,JMART,189178375.0,23499464.5,212677839.5,165678910.5
2026-07-09,JMT,132069000.0,16812570.0,148881570.0,115256430.0
2026-07-09,JPARK,170888.0,5576.0,176464.0,165312.0
2026-07-09,JR,0.0,175.0,175.0,-175.0
2026-07-09,JTS,2685250.0,10444500.0,13129750.0,-7759250.0
2026-07-09,KAMART,838795.0,177215.0,1016010.0,661580.0
2026-07-09,KBANK,1304377420.0,1104993950.0,2409371370.0,199383470.0
2026-07-09,KBS,0.0,54405.0,54405.0,-54405.0
2026-07-09,KC,3.0,3840.0,3843.0,-3837.0
2026-07-09,KCC,29536.0,27896.0,57432.0,1640.0
2026-07-09,KCE,560106150.0,85192631.0,645298781.0,474913519.0
2026-07-09,KCG,577045.0,2649490.0,3226535.0,-2072445.0
2026-07-09,KGEN,9450699.0,3605781.0,13056480.0,5844918.0
2026-07-09,KGI,2084552.0,135296.0,2219848.0,1949256.0
2026-07-09,KIAT,0.0,34.0,34.0,-34.0
2026-07-09,KISS,194148.0,84624.0,278772.0,109524.0
2026-07-09,KKP,191452154.0,291287200.0,482739354.0,-99835046.0
2026-07-09,KLINIQ,2944000.0,150700.0,3094700.0,2793300.0
2026-07-09,KSL,770.0,85983.0,86753.0,-85213.0
2026-07-09,KTB,2243676890.0,1698346840.5,3942023730.5,545330049.5
2026-07-09,KTC,253674850.0,235730575.0,489405425.0,17944275.0
2026-07-09,KTMS,71.89,0.0,71.89,71.89
2026-07-09,KUMWEL,1463460.0,165918.0,1629378.0,1297542.0
2026-07-09,KYE,0.0,4095.0,4095.0,-4095.0
2026-07-09,LANNA,15870.0,14.5,15884.5,15855.5
2026-07-09,LEE,1240.0,0.0,1240.0,1240.0
2026-07-09,LH,20684598.0,13191390.0,33875988.0,7493208.0
2026-07-09,LHFG,4421478.0,199208.0,4620686.0,4222270.0
2026-07-09,LOXLEY,0.0,50196.0,50196.0,-50196.0
2026-07-09,LPN,0.0,21495.0,21495.0,-21495.0
2026-07-09,LTS,74802.0,51904.0,126706.0,22898.0
2026-07-09,M,4999830.0,1412290.0,6412120.0,3587540.0
2026-07-09,MADAME,206400.0,0.0,206400.0,206400.0
2026-07-09,MAGURO,1410878.1,14580.4,1425458.5,1396297.7000000002
2026-07-09,MAJOR,625815.0,1870855.0,2496670.0,-1245040.0
2026-07-09,MALEE,2412.0,33864.0,36276.0,-31452.0
2026-07-09,MASTEC,868064.0,307116.0,1175180.0,560948.0
2026-07-09,MASTER,727135.0,11965.0,739100.0,715170.0
2026-07-09,MBK,14934500.0,4614160.0,19548660.0,10320340.0
2026-07-09,MC,865360.0,2698120.0,3563480.0,-1832760.0
2026-07-09,MCOT,76000.0,0.0,76000.0,76000.0
2026-07-09,MCS,319005.0,188550.0,507555.0,130455.0
2026-07-09,MDX,0.0,111530.0,111530.0,-111530.0
2026-07-09,MEB,2915350.0,3135150.0,6050500.0,-219800.0
2026-07-09,MEDEZE,463190.0,372535.0,835725.0,90655.0
2026-07-09,MEGA,4996500.0,1425550.0,6422050.0,3570950.0
2026-07-09,METCO,353400.0,117900.0,471300.0,235500.0
2026-07-09,MFC,43470.0,0.0,43470.0,43470.0
2026-07-09,MFEC,0.0,80730.0,80730.0,-80730.0
2026-07-09,MGC,3819430.0,383175.0,4202605.0,3436255.0
2026-07-09,MGI,221890.0,329000.0,550890.0,-107110.0
2026-07-09,MGT,23660.0,0.0,23660.0,23660.0
2026-07-09,MICRO,4752.0,742.0,5494.0,4010.0
2026-07-09,MIDA,0.0,6865.0,6865.0,-6865.0
2026-07-09,MINT,149088340.0,176470374.9,325558714.9,-27382034.900000006
2026-07-09,MK,0.0,47078.64,47078.64,-47078.64
2026-07-09,ML,589651.0,118602.0,708253.0,471049.0
2026-07-09,MMM,29866.0,33428.0,63294.0,-3562.0
2026-07-09,MMM-W1,0.0,16736.02,16736.02,-16736.02
2026-07-09,MONO,80194.0,17706.0,97900.0,62488.0
2026-07-09,MOONG,1824.0,456.0,2280.0,1368.0
2026-07-09,MORE,0.0,5.0,5.0,-5.0
2026-07-09,MOSHI,19561000.0,1015875.0,20576875.0,18545125.0
2026-07-09,MRDIYT,16399020.0,13200080.0,29599100.0,3198940.0
2026-07-09,MST,775.0,0.0,775.0,775.0
2026-07-09,MTC,138650450.0,198874150.0,337524600.0,-60223700.0
2026-07-09,MTI,125400.0,0.0,125400.0,125400.0
2026-07-09,NCAP,3373286.0,2231202.0,5604488.0,1142084.0
2026-07-09,NDR,0.0,3759.0,3759.0,-3759.0
2026-07-09,NEO,2536270.0,225650.0,2761920.0,2310620.0
2026-07-09,NER,1367580.0,408848.0,1776428.0,958732.0
